DATE,DSPIC96
1/1/1959,2056.5
2/1/1959,2063.5
3/1/1959,2075.1
4/1/1959,2087.7
5/1/1959,2099.6
6/1/1959,2106.9
7/1/1959,2103.3
8/1/1959,2091.1
9/1/1959,2091.2
10/1/1959,2093.9
11/1/1959,2108.7
12/1/1959,2127.7
1/1/1960,2134.9
2/1/1960,2134.3
3/1/1960,2136.7
4/1/1960,2144.8
5/1/1960,2149.8
6/1/1960,2151.3
7/1/1960,2153
8/1/1960,2150.4
9/1/1960,2154
10/1/1960,2161.8
11/1/1960,2151.9
12/1/1960,2141
1/1/1961,2163.4
2/1/1961,2172.6
3/1/1961,2181.4
4/1/1961,2186.6
5/1/1961,2203.3
6/1/1961,2226.7
7/1/1961,2234.4
8/1/1961,2233.9
9/1/1961,2236.2
10/1/1961,2259.2
11/1/1961,2280.7
12/1/1961,2293.8
1/1/1962,2287.2
2/1/1962,2298.4
3/1/1962,2313.2
4/1/1962,2322.7
5/1/1962,2323.2
6/1/1962,2325.7
7/1/1962,2334.7
8/1/1962,2336.4
9/1/1962,2337
10/1/1962,2347.3
11/1/1962,2356.1
12/1/1962,2366.6
1/1/1963,2383.3
2/1/1963,2368.9
3/1/1963,2378.3
4/1/1963,2389.1
5/1/1963,2397.1
6/1/1963,2410.8
7/1/1963,2412.8
8/1/1963,2423.1
9/1/1963,2440.5
10/1/1963,2455.6
11/1/1963,2460.1
12/1/1963,2479.4
1/1/1964,2489.2
2/1/1964,2496.5
3/1/1964,2554.6
4/1/1964,2568.7
5/1/1964,2582.5
6/1/1964,2591.7
7/1/1964,2600.6
8/1/1964,2616.1
9/1/1964,2626.2
10/1/1964,2625.6
11/1/1964,2640.4
12/1/1964,2665.8
1/1/1965,2672.3
2/1/1965,2672.4
3/1/1965,2680.6
4/1/1965,2685
5/1/1965,2713.8
6/1/1965,2717.2
7/1/1965,2745.2
8/1/1965,2758.8
9/1/1965,2834.5
10/1/1965,2817.8
11/1/1965,2838.6
12/1/1965,2850
