LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HHDI,NET,AGRWTH,A,1971,4.593835896,
USA,HHDI,NET,AGRWTH,A,1972,4.718807528,
USA,HHDI,NET,AGRWTH,A,1973,5.875353201,
USA,HHDI,NET,AGRWTH,A,1974,-0.519308789,
USA,HHDI,NET,AGRWTH,A,1975,2.640287801,
USA,HHDI,NET,AGRWTH,A,1976,3.071184233,
USA,HHDI,NET,AGRWTH,A,1977,3.024828322,
USA,HHDI,NET,AGRWTH,A,1978,4.260509705,
USA,HHDI,NET,AGRWTH,A,1979,1.776315407,
USA,HHDI,NET,AGRWTH,A,1980,0.520085835,
USA,HHDI,NET,AGRWTH,A,1981,2.046016437,
USA,HHDI,NET,AGRWTH,A,1982,1.627549967,
USA,HHDI,NET,AGRWTH,A,1983,3.180901193,
USA,HHDI,NET,AGRWTH,A,1984,6.516179754,
USA,HHDI,NET,AGRWTH,A,1985,2.738793601,
USA,HHDI,NET,AGRWTH,A,1986,3.770261682,
USA,HHDI,NET,AGRWTH,A,1987,2.248920334,
USA,HHDI,NET,AGRWTH,A,1988,4.804043913,
USA,HHDI,NET,AGRWTH,A,1989,2.974367771,
USA,HHDI,NET,AGRWTH,A,1990,2.15489015,
USA,HHDI,NET,AGRWTH,A,1991,0.749597957,
USA,HHDI,NET,AGRWTH,A,1992,4.322894936,
USA,HHDI,NET,AGRWTH,A,1993,1.695208881,
USA,HHDI,NET,AGRWTH,A,1994,2.733451943,
USA,HHDI,NET,AGRWTH,A,1995,3.029647391,
USA,HHDI,NET,AGRWTH,A,1996,2.863987293,
USA,HHDI,NET,AGRWTH,A,1997,3.462621338,
USA,HHDI,NET,AGRWTH,A,1998,5.683728261,
USA,HHDI,NET,AGRWTH,A,1999,3.204827333,
USA,HHDI,NET,AGRWTH,A,2000,4.668898559,
USA,HHDI,NET,AGRWTH,A,2001,2.80680842,
USA,HHDI,NET,AGRWTH,A,2002,3.283266378,
USA,HHDI,NET,AGRWTH,A,2003,2.712630141,
USA,HHDI,NET,AGRWTH,A,2004,3.265981232,
USA,HHDI,NET,AGRWTH,A,2005,1.327464001,
USA,HHDI,NET,AGRWTH,A,2006,3.593956502,
USA,HHDI,NET,AGRWTH,A,2007,1.829294298,
USA,HHDI,NET,AGRWTH,A,2008,1.699384053,
USA,HHDI,NET,AGRWTH,A,2009,-0.079663773,
USA,HHDI,NET,AGRWTH,A,2010,1.090976809,
USA,HHDI,NET,AGRWTH,A,2011,2.298970675,
USA,HHDI,NET,AGRWTH,A,2012,3.061922207,
USA,HHDI,NET,AGRWTH,A,2013,-1.304483607,
USA,HHDI,NET,AGRWTH,A,2014,3.309642164,
USA,HHDI,NET,AGRWTH,A,2015,3.385014093,
